"RefDes","Name","Value","Quantity","Pattern"
"C101, C201, C203, C204, C205","CAP_0603","100p","5","CAP_0603"
"C102","CAP_0603","6.8n","1","CAP_0603"
"C103, C208, C209, C502","CAP_0805","10u","4","CAP_0805"
"C104, C105, C109, C110, C111, C112, C302, C303, C501","CAP_1210","22u","9","CAP_1210"
"C106, C108, C113, C202, C206","CAP_0805","1u","5","CAP_0805"
"C107","CAP_0603","opt","1","CAP_0603"
"C207","CAP_0805","0.1u","1","CAP_0805"
"C301","PPTC081LFBN-RC","1u","1","CAP_0805"
"D101, D102, D103, D106, D107, D501, D502","PMEG4020ETP","","7","SOD-128"
"D104, D105, D401","APL3015SRCPRV-F01","","3","APL3015"
"FB101, FB201, FB301","BLM18KG221SN1D","220 @ 100MHz","3","RES_0603"
"FD1, FD2","Fiducial","","2","Fiducial"
"J1, J2, J4, J5, J7, J8","644456-8","","6","HDR-1x8T/2.54/20x2"
"J3","90131-0138","","1","HDR-2x18T/2.54x2.54/46x5"
"J6, J9","90131-0125","","2","HDR-2x5T/2.54x2.54/13x5"
"J10, J11, J12, J13, J203, J301","644456-4","","6","HDR-1x4T/2.54/10x2"
"J101","0022272031","","1","Molex 3pin"
"J201, J202","B3B-XH-A","","2","JST B3B-XH-A"
"J302, J303","PPTC081LFBN-RC","","2","HDR-1x8T/2.54/20x2"
"J401, J402","B2B-XH-A","","2","JST B2B-XH-A"
"J501","OSTVN04A150","","1","TB-1x4/2.54/11x7/Sc_H"
"J502","644456-2","","1","HDR-1x2T/2.54/5x2"
"L101","IHLP3232DZER330M11","33uH","1","IHLP3232CZER"
"Q401","2N7002","","1","SOT23"
"Q501, Q502","IRLZ44N","","2","TO-220"
"R101, R301, R303","RES_0603","0","3","RES_0603"
"R102, R105, R402","RES_0603","10k","3","RES_0603"
"R103, R104, R109, R110, R202, R203, R204, R206, R207, R208, R209, R211, R401, R504, R505","RES_0603","100k","15","RES_0603"
"R106","RES_0603","53k6","1","RES_0603"
"R108","RES_0603","165k","1","RES_0603"
"R111","RES_2512","","1","RES_2512"
"R201","RES_0603","1k","1","RES_0603"
"R205, R210","RES_0603","49k9","2","RES_0603"
"R212, R213, R501, R502","RES_0603","24r9","4","RES_0603"
"R302, R304, R305, R306, R307, R403","RES_0603","opt","6","RES_0603"
"R503","RES_0603","4k7","1","RES_0603"
"TP101, TP102, TP103, TP201, TP202, TP203, TP204, TP205, TP206, TP207, TP208, TP301, TP302, TP303, TP304, TP401, TP402, TP501, TP502, TP503","TESTPOINT","","20","Round"
"U101","LT3581EMSE","","1","MSOP-16EP"
"U201","LM4040DIM3-4.1","","1","SOT23"
"U202","TL084D","","1","SOIC-14/150mil"
"U203","LTC2602CMS8","","1","MSOP-8"
"X1","Arduino Mega","","1",""
"X301","A4988 Carrier","","1",""
